LT01,Nombre,Tipo,TipoLugar,Pais,Provincia,Ciudad,Punto de Localización,Latitud,Longuitud
LT02,Río Santa Bárbara,LugaresTuristicos,Rio,Ecuador,Azuay,Gualaceo,Se ubica  en el Cantón de Gulaceo,-29.047956,-78.778787
LT03,Represa de Paute,LugaresTuristicos,Represa,Ecuador,Azuay,Cuenca,,-2.586111,-78.558333
LT04,El Turi,LugaresTuristicos,Iglesia,Ecuador,Azuay,Cuenca,,-2.9223567,-79.0103607
LT05,Cascada Irha,LugaresTuristicos,Casacada,Ecuador,Azuay,Cuenca,Se encuentra ubicado a 5 km del cantón Girón está ubicado a 45 kilómetros de Cuenca,,
LT06,Parque Nacional Cajas,LugaresTuristicos,Parque,Ecuador,Azuay,Cuenca,,-2.8487368,-79.2537609
LT07,Reserva faunística el Chimborazo,LugaresTuristicos,Reserva,Ecuador,Bolívar,Riobamba,,-1.51123,-78.8609122
LT08,Complejo turístico las cochas,LugaresTuristicos,Atractivo Turistico,Ecuador,Bolívar,Guaranda,Via Guaranda - Guanujo - Las Cochas,,
LT09,Santuario De La Virgen del Huayco,LugaresTuristicos,Iglesia,Ecuador,Bolívar,San Jose de Chimbo,,-1.6700716,-79.0607285
LT10,Cuevas de Tiagua,LugaresTuristicos,Montaña,Ecuador,Bolívar,Guaranda,"Las Cuevas de Tiagua se encuentran a 40 minutos de la parroquia Salinas,Guaranda",,
LT11,Volcan Carihuairazo,LugaresTuristicos,Volcan,Ecuador,Bolívar,Riobamba,,-1.4043069,-78.754549
LT12,Complejo turístico Ingapirca,LugaresTuristicos,Complejo Arqueologico ,Ecuador,Cañar,Cañar,A 16km de la ciudad de Cañar,-2.548985,-78.8714679
LT13,Lagunas de culebrillas,LugaresTuristicos,Laguna,Ecuador,Cañar,Cañar,,-2.4230556,-78.8597222
LT14,Museo de Guantug,LugaresTuristicos,Museo,Ecuador,Cañar,Cañar,,,
LT15,Catedral de Azogues,LugaresTuristicos,Iglesia,Ecuador,Cañar,Azogues,,-2.7381951,-78.8472003
LT16,Cementerio de Tulcán,LugaresTuristicos,Cementerio,Ecuador,Carchi,Tulcán,,0.8200078,-77.7148041
LT17,Reserva Ecológica El Ángel,LugaresTuristicos,Reserva,Ecuador,Carchi,Tulcán,,0.82152,-77.73217
LT18,Gruta De La Paz,LugaresTuristicos,Santuario Nacional,Ecuador,Carchi,Montúfar,,0.5004223,-77.842803
LT19,Lagunas Verdes,LugaresTuristicos,Laguna,Ecuador,Carchi,Tulcán,A 40 kilómetros de Tulcán,0.8150608,-77.9357521
LT20,Reserva Awa,LugaresTuristicos,Reserva Biantropológica,Ecuador,Carchi,Tulcán,A 145 km de Tulcán.,1.0935308,-78.4524591
LT21,Iglesia de Balbanera,LugaresTuristicos,Iglesia,Ecuador,Chimborazo,Colta,"Colta, A 8 Km de Riobamba.",-1.7234848,-78.7625863
LT22,Laguna Del Atillo,LugaresTuristicos,Laguna,Ecuador,Chimborazo,Guamote,"Cantón Guamote, A 90 km de Riobamba",-2.196173,-78.5291706
LT23,Laguna de Colta,LugaresTuristicos,Laguna,Ecuador,Chimborazo,Riobamba,A 20 km. de la ciudad de Riobamba y a 3 km. de la cabecera cantonal Cajabamba,-1.7375,-78.7558333
LT24,La Nariz Del Diablo,LugaresTuristicos,Montaña,Ecuador,Chimborazo,Chimborazo,,-2.2437094,-78.8779638
LT25,Laguna de Azogoche,LugaresTuristicos,Laguna,Ecuador,Chimborazo,Alausi,"En Alausí, a 90 km de Riobamba.",-2.2518863,-78.5916866
LT26,Parque Nacional De Cotopaxi,LugaresTuristicos,Parque Nacional,Ecuador,Cotopaxi,Latacunga,,-0.7007416,-78.4297187
LT27,Laguna De Quilatoa,LugaresTuristicos,Laguna,Ecuador,Cotopaxi,Latacunga,"A 66 kilómetros al sur de la ciudad de Latacunga,",-0.8583134,-78.9033627
LT28,Parque Nacional Ilinizas,LugaresTuristicos,Reserva Ecologica,Ecuador,Cotopaxi,Latacunga.,,-0.7022878,-79.0645056
LT29,Santuario De Cuicuno,LugaresTuristicos,Santuario Nacional,Ecuador,Cotopaxi,Latacunga.,,-0.8035306,-78.6684971
LT30,Archipiélago de Jambelí,LugaresTuristicos,Archipielago,Ecuador,El Oro,Santa Rosa,,-3.36556,-80.1108
LT31,Balneario La Chocha,LugaresTuristicos,Balneario,Ecuador,El Oro,Casacay,,-3.3228304,-79.7215175
LT32,Isla Santa Clara,LugaresTuristicos,Isla,Ecuador,El Oro,Puerto Bolivar,A 43 kilómetros al oeste de Puerto Bolívar,-3.1713787,-80.4342251
LT33,Cerro Dos Arcos,LugaresTuristicos,Cerro,Ecuador,El Oro,Zaruma,Parroquia Manú,-3.564167,-79.469444
LT34,Cantón Chilla,LugaresTuristicos,Atractivo Turistico,Ecuador,El Oro,Chilla,,-3.4576431,-79.5772008
LT35,Playa De Oro,LugaresTuristicos,Playa,Ecuador,Esmeraldas,Esmeraldas,,0.865753,-78.801299
LT36,Reserva Ecológica Cayambe Coca,LugaresTuristicos,Reserva Ecologica,Ecuador,Esmeraldas,Esmeraldas,,-0.3253796,-78.1479586
LT37,Reserva Ecológica Cotacachi Cayapas,LugaresTuristicos,Reserva Ecologica,Ecuador,Esmeraldas,Cotachachi,Parroquia Quiroga,0.583333,-78.683333
LT38,Lago De Muisne,LugaresTuristicos,Lago,Ecuador,Esmeraldas,Muisne,,0.6067,-80.0183
LT39,Playa Las Peñas,LugaresTuristicos,Playa,Ecuador,Esmeraldas,Eloy Alfaro,"Parroquia La Tola, cantón Eloy Alfaro",1.086367,-79.157314
LT40,Isla Santa Cruz,LugaresTuristicos,Isla,Ecuador,Galápagos,Puerto Ayora,,-0.6393592,-90.3371889
LT41,Isla Isabela,LugaresTuristicos,Isla,Ecuador,Galápagos,Puerto Villamil,,-0.8292374,-91.135302
LT42,Isla Bartolomé,LugaresTuristicos,Isla,Ecuador,Galápagos,,,-0.2842964,-90.550602
LT43,Isla Fernandina,LugaresTuristicos,Isla,Ecuador,Galápagos,,,-0.4123801,-91.4821482
LT44,Isla San Cristóbal,LugaresTuristicos,Isla,Ecuador,Galápagos,Puerto Baquerizo Moreno,,-0.8674715,-89.436391
LT45,El Faro,LugaresTuristicos,Atractivo Turistico,Ecuador,Guayas,Guayaquil,,-2.1810317,-79.8753664
LT46,Parque Histórico De Guayaquil,LugaresTuristicos,Parque,Ecuador,Guayas,Guayaquil,,-2.1451609,-79.8700969
LT47,Hacienda Jambelí,LugaresTuristicos,Reserva Ecologica,Ecuador,Guayas,Naranjal,"A 16 Km del Cantón Naranjal, en la vía a Machala, exactamente en Balao Chico.",,
LT48,Malecón 2000,LugaresTuristicos,Parque,Ecuador,Guayas,Guayaquil,,-2.1937369,-79.8797778
LT49,Museo Histórico De Abdón Calderón,LugaresTuristicos,Museo,Ecuador,Guayas,Guayaquil,,-2.2153454,-79.8872573
LT50,Otavalo,LugaresTuristicos,Atractivo Turistico,Ecuador,Imbabura,Otavalo,,0.2343005,-78.2610672
LT51,Lago De San Pablo,LugaresTuristicos,Laguna,Ecuador,Imbabura,Ibarra,,0.2059669,78.219132
LT52,Yahuarcocha,LugaresTuristicos,Laguna,Ecuador,Imbabura,Ibarra,Parroquia La Dolorosa del Priorato,0.3719409,-78.1005579
LT53,Ibarra,LugaresTuristicos,Atractivo Turistico,Ecuador,Imbabura,Ibarra,,0.3391763,-78.1222336
LT54,Valle Del Chota,LugaresTuristicos,Atractivo Turistico,Ecuador,Imbabura,Ibarra,A 35 Km. de Ibarra,0.466667,-78.066667
LT55,Basílica Del Cisne,LugaresTuristicos,Santurario Nacional,Ecuador,Loja,Loja,Parroquia El Cisne,-3.851045,-79.426496
LT56,Parque Podocarpus,LugaresTuristicos,Parque Nacional,Ecuador,Loja,Loja,,-4.283333,-79
LT57,Vilcabamba,LugaresTuristicos,Atractivo Turistico,Ecuador,Loja,Vilcambaba,,-4.2623285,-79.2253776
LT58,Iglesia Catedral,LugaresTuristicos,Iglesia,Ecuador,Loja,Loja,,-3.9964969,-79.2010967
