OBJECTID,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,UNIDTERR1,UNIDTERR2,UNIDTERR3,PAIS,GID_3
1,55374,0.38,31500,56.8,23874,43.11,19051,0.41,11022,57.8,8029,42.14,22400,71.1,23,0.07,1773,7.43,356,0.05,26365,0.76,5993,54.3,12608,0.72,13757,0.8,19650,14,6701,83.7,24173,43.65,87.72,379,0.68,60.87,BOLIVAR,GUARANDA,GUARANDA,Ecuador,ECU.2.5.2_1
2,3319,0.02,3319,100,0,0,1459,0.03,1459,100,0,0,1037,31.2,20,0.6,0,0,0,0,2726,0.08,665,45.5,1399,0.08,1327,0.08,939,14,1773,82.13,1037,31.24,90.55,20,0.6,70,BOLIVAR,GUARANDA,FACUNDO VELA,Ecuador,ECU.2.5.1_1
3,2948,0.02,2948,100,0,0,1298,0.03,1298,100,0,0,1842,62.4,5,0.17,0,0,0,0,2547,0.07,633,48.7,1250,0.07,1297,0.08,1747,0,800,86.4,1842,62.48,94.84,5,0.17,0,BOLIVAR,GUARANDA,JULIO E. MORENO (CATANAHUAN GRANDE),Ecuador,ECU.2.5.3_1
4,5821,0.04,5821,100,0,0,2468,0.05,2468,100,0,0,2278,39.1,88,1.51,0,0,0,0,4104,0.12,993,40.2,2050,0.12,2054,0.12,1740,72,2292,70.5,2278,39.13,76.38,88,1.51,81.82,BOLIVAR,GUARANDA,SALINAS,Ecuador,ECU.2.5.4_1
5,1857,0.01,1857,100,0,0,794,0.02,794,100,0,0,38,2.05,13,0.7,0,0,0,0,1205,0.03,321,40.4,592,0.03,613,0.04,37,7,1161,64.89,38,2.05,97.37,13,0.7,53.85,BOLIVAR,GUARANDA,SAN LORENZO,Ecuador,ECU.2.5.5_1
6,4203,0.03,4203,100,0,0,1489,0.03,1489,100,0,0,2738,65.1,16,0.38,0,0,0,0,3151,0.09,705,47.3,1522,0.09,1629,0.09,2271,6,874,74.97,2738,65.14,82.94,16,0.38,37.5,BOLIVAR,GUARANDA,SAN SIMON (YACOTO),Ecuador,ECU.2.5.7_1
7,1752,0.01,1752,100,0,0,796,0.02,796,100,0,0,230,13.1,30,1.71,0,0,0,0,1175,0.03,281,35.3,555,0.03,620,0.04,198,25,952,67.07,230,13.13,86.09,30,1.71,83.33,BOLIVAR,GUARANDA,SANTA FE (SANTA FE),Ecuador,ECU.2.5.8_1
8,11246,0.08,11246,100,0,0,3962,0.09,3962,100,0,0,10583,94.1,15,0.13,0,0,0,0,10042,0.29,2126,53.6,4932,0.28,5110,0.3,9546,13,483,89.29,10583,94.1,90.2,15,0.13,86.67,BOLIVAR,GUARANDA,SIMIATUG,Ecuador,ECU.2.5.9_1
9,5357,0.04,5357,100,0,0,1702,0.04,1702,100,0,0,258,4.82,101,1.89,0,0,0,0,3014,0.09,662,38.9,1540,0.09,1474,0.09,171,50,2793,56.26,258,4.82,66.28,101,1.89,49.5,BOLIVAR,GUARANDA,SAN LUIS DE PAMBIL,Ecuador,ECU.2.5.6_1
10,13274,0.09,10593,79.8,2681,20.2,4670,0.1,3699,79.2,971,20.79,554,5.23,138,1.3,50,1.86,25,0,8622,0.25,2093,56.5,4371,0.25,4251,0.25,473,110,8039,81.39,604,4.55,85.38,163,1.23,79.71,BOLIVAR,CHILLANES,CHILLANES,Ecuador,ECU.2.2.1_1
11,4132,0.03,4132,100,0,0,1413,0.03,1413,100,0,0,51,1.23,70,1.69,0,0,0,0,2902,0.08,681,48.2,1541,0.09,1361,0.08,47,38,2817,70.23,51,1.23,92.16,70,1.69,54.29,BOLIVAR,CHILLANES,SAN JOSE DEL TAMBO (TAMBOPAMBA),Ecuador,ECU.2.2.2_1
12,5809,0.04,1407,24.2,4402,75.78,1858,0.04,526,28.3,1332,71.69,69,4.9,35,2.49,28,0.64,68,0.01,763,0.02,192,36.5,366,0.02,397,0.02,39,19,705,54.23,97,1.67,56.52,103,1.77,54.29,BOLIVAR,CHIMBO,SAN JOSE DE CHIMBO,Ecuador,ECU.2.3.3_1
13,2837,0.02,2837,100,0,0,1001,0.02,1001,100,0,0,246,8.67,13,0.46,0,0,0,0,1896,0.05,455,45.4,915,0.05,981,0.06,203,7,1686,66.83,246,8.67,82.52,13,0.46,53.85,BOLIVAR,CHIMBO,ASUNCION (ASANCOTO),Ecuador,ECU.2.3.1_1
14,2819,0.02,2819,100,0,0,1057,0.02,1057,100,0,0,164,5.82,11,0.39,0,0,0,0,1732,0.05,377,35.6,827,0.05,905,0.05,136,7,1589,61.44,164,5.82,82.93,11,0.39,63.64,BOLIVAR,CHIMBO,MAGDALENA (CHAPACOTO),Ecuador,ECU.2.3.2_1
15,1057,0.01,1057,100,0,0,412,0.01,412,100,0,0,28,2.65,11,1.04,0,0,0,0,667,0.02,175,42.4,335,0.02,332,0.02,28,9,630,63.1,28,2.65,100,11,1.04,81.82,BOLIVAR,CHIMBO,SAN SEBASTIAN,Ecuador,ECU.2.3.4_1
16,3257,0.02,3257,100,0,0,1111,0.02,1111,100,0,0,11,0.34,13,0.4,0,0,0,0,2812,0.08,651,58.6,1425,0.08,1387,0.08,10,9,2793,86.34,11,0.34,90.91,13,0.4,69.23,BOLIVAR,CHIMBO,TELIMBELA,Ecuador,ECU.2.3.5_1
17,12114,0.08,5944,49,6170,50.93,4476,0.1,2284,51,2192,48.97,256,4.31,82,1.38,276,4.47,133,0.02,4268,0.12,1041,45.5,2211,0.13,2057,0.12,221,52,3995,71.8,532,4.39,86.33,215,1.77,63.41,BOLIVAR,ECHEANDIA,ECHEANDIA,Ecuador,ECU.2.4.1_1
18,12409,0.09,5498,44.3,6911,55.69,4274,0.09,1873,43.8,2401,56.18,103,1.87,20,0.36,83,1.2,88,0.01,3621,0.1,835,44.5,1774,0.1,1847,0.11,79,13,3529,65.86,186,1.5,76.7,108,0.87,65,BOLIVAR,SAN MIGUEL,SAN MIGUEL,Ecuador,ECU.2.7.4_1
19,2765,0.02,2765,100,0,0,1163,0.02,1163,100,0,0,23,0.83,19,0.69,0,0,0,0,1690,0.05,431,37,884,0.05,806,0.05,20,10,1660,61.12,23,0.83,86.96,19,0.69,52.63,BOLIVAR,SAN MIGUEL,BALSAPAMBA,Ecuador,ECU.2.7.1_1
20,2745,0.02,2745,100,0,0,1030,0.02,1030,100,0,0,129,4.7,54,1.97,0,0,0,0,2163,0.06,525,50.9,1082,0.06,1081,0.06,119,40,2004,78.8,129,4.7,92.25,54,1.97,74.07,BOLIVAR,SAN MIGUEL,BILOVAN,Ecuador,ECU.2.7.2_1
21,944,0.01,944,100,0,0,324,0.01,324,100,0,0,5,0.53,0,0,0,0,0,0,828,0.02,189,58.3,406,0.02,422,0.02,4,0,824,87.71,5,0.53,80,0,0,0,BOLIVAR,SAN MIGUEL,REGULO DE MORA,Ecuador,ECU.2.7.3_1
22,5489,0.04,5489,100,0,0,1704,0.04,1704,100,0,0,448,8.16,23,0.42,0,0,0,0,3889,0.11,855,50.1,1900,0.11,1989,0.12,387,6,3496,70.85,448,8.16,86.38,23,0.42,26.09,BOLIVAR,SAN MIGUEL,SAN PABLO (SAN PABLO DE ATENAS),Ecuador,ECU.2.7.5_1
23,1749,0.01,1749,100,0,0,657,0.01,657,100,0,0,634,36.2,6,0.34,0,0,0,0,1250,0.04,283,43,638,0.04,612,0.04,544,1,705,71.47,634,36.25,85.8,6,0.34,16.67,BOLIVAR,SAN MIGUEL,SANTIAGO,Ecuador,ECU.2.7.7_1
24,1143,0.01,1143,100,0,0,498,0.01,498,100,0,0,5,0.44,3,0.26,0,0,0,0,838,0.02,218,43.7,415,0.02,423,0.02,4,3,831,73.32,5,0.44,80,3,0.26,100,BOLIVAR,SAN MIGUEL,SAN VICENTE,Ecuador,ECU.2.7.6_1
25,13129,0.09,6860,52.2,6269,47.75,4728,0.1,2388,50.5,2340,49.49,175,2.55,55,0.8,121,1.93,143,0.02,4877,0.14,1208,50.5,2419,0.14,2458,0.14,159,42,4676,71.09,296,2.25,90.86,198,1.51,76.36,BOLIVAR,CALUMA,CALUMA,Ecuador,ECU.2.1.1_1
26,6092,0.04,4607,75.6,1485,24.38,1850,0.04,1357,73.3,493,26.65,72,1.56,192,4.17,11,0.74,78,0.01,3335,0.1,757,55.7,1715,0.1,1620,0.09,52,147,3136,72.39,83,1.36,72.22,270,4.43,76.56,BOLIVAR,LAS NAVES,LAS NAVES,Ecuador,ECU.2.6.1_1
27,60403,0.42,6845,11.3,53558,88.67,17832,0.38,2106,11.8,15726,88.19,126,1.84,167,2.44,1117,2.09,2365,0.31,3635,0.1,811,38.5,1767,0.1,1868,0.11,88,87,3460,53.1,1243,2.06,69.84,2532,4.19,52.1,CARCHI,TULCAN,TULCAN,Ecuador,ECU.4.6.9_1
28,2789,0.02,2789,100,0,0,851,0.02,851,100,0,0,11,0.39,30,1.08,0,0,0,0,1709,0.05,370,43.4,843,0.05,866,0.05,5,23,1681,61.28,11,0.39,45.45,30,1.08,76.67,CARCHI,TULCAN,EL CARMELO (EL PUN),Ecuador,ECU.4.6.1_1
29,9634,0.07,9634,100,0,0,2937,0.06,2937,100,0,0,190,1.97,231,2.4,0,0,0,0,4849,0.14,1056,35.9,2387,0.14,2462,0.14,72,102,4675,50.33,190,1.97,37.89,231,2.4,44.16,CARCHI,TULCAN,JULIO ANDRADE (OREJUELA),Ecuador,ECU.4.6.3_1
30,1703,0.01,1703,100,0,0,490,0.01,490,100,0,0,212,12.4,22,1.29,0,0,0,0,1097,0.03,225,45.9,555,0.03,542,0.03,135,17,945,64.42,212,12.45,63.68,22,1.29,77.27,CARCHI,TULCAN,MALDONADO,Ecuador,ECU.4.6.4_1
31,718,0,718,100,0,0,271,0.01,271,100,0,0,0,0,1,0.14,0,0,0,0,399,0.01,94,34.6,206,0.01,193,0.01,0,0,399,55.57,0,0,0,1,0.14,0,CARCHI,TULCAN,PIOTER,Ecuador,ECU.4.6.5_1
32,905,0.01,905,100,0,0,200,0,200,100,0,0,568,62.7,148,16.3,0,0,0,0,818,0.02,158,79,395,0.02,423,0.02,561,134,123,90.39,568,62.76,98.77,148,16.35,90.54,CARCHI,TULCAN,TOBAR DONOSO (LA BOCANA DE CAMUMBI),Ecuador,ECU.4.6.7_1
33,2339,0.02,2339,100,0,0,734,0.02,734,100,0,0,370,15.8,36,1.54,0,0,0,0,1373,0.04,304,41.4,687,0.04,686,0.04,227,19,1127,58.7,370,15.82,61.35,36,1.54,52.78,CARCHI,TULCAN,TUFIO,Ecuador,ECU.4.6.8_1
